rank	name	score	description
1	pop-001-intel-raptorlake-intel-laptop	900	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
2	pop-002-amd-znver4-intel-laptop	810	Laptop on AMD Ryzen 7000/8000 (Zen 4), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
3	pop-003-intel-raptorlake-nvidia-laptop	800	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
4	pop-004-intel-raptorlake-amd-laptop	800	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
5	pop-005-intel-raptorlake-intel-desktop	720	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
6	pop-006-amd-znver4-nvidia-laptop	720	Laptop on AMD Ryzen 7000/8000 (Zen 4), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
7	pop-007-amd-znver4-amd-laptop	720	Laptop on AMD Ryzen 7000/8000 (Zen 4), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
8	pop-008-amd-znver4-intel-desktop	648	Desktop on AMD Ryzen 7000/8000 (Zen 4), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
9	pop-009-intel-raptorlake-nvidia-desktop	640	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
10	pop-010-intel-raptorlake-amd-desktop	640	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
11	pop-011-intel-alderlake-intel-laptop	630	Laptop on Intel Core 12 gen (Alder Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
12	pop-012-amd-znver4-nvidia-desktop	576	Desktop on AMD Ryzen 7000/8000 (Zen 4), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
13	pop-013-amd-znver4-amd-desktop	576	Desktop on AMD Ryzen 7000/8000 (Zen 4), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
14	pop-014-intel-alderlake-nvidia-laptop	560	Laptop on Intel Core 12 gen (Alder Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
15	pop-015-intel-alderlake-amd-laptop	560	Laptop on Intel Core 12 gen (Alder Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
16	pop-016-amd-znver3-intel-laptop	540	Laptop on AMD Ryzen 5000 (Zen 3), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
17	pop-017-intel-skylake-intel-laptop	540	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
18	pop-018-intel-alderlake-intel-desktop	504	Desktop on Intel Core 12 gen (Alder Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
19	pop-019-amd-znver3-nvidia-laptop	480	Laptop on AMD Ryzen 5000 (Zen 3), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
20	pop-020-amd-znver3-amd-laptop	480	Laptop on AMD Ryzen 5000 (Zen 3), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
21	pop-021-intel-skylake-nvidia-laptop	480	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
22	pop-022-intel-skylake-amd-laptop	480	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
